cleaned_position,new_position
Property & Distributor Expert,
Property & Facility Management Section Head,
Property & Facility Officer,
Property & General Service Division Head,
Property & General Services Officer,
Property & Inventory Clerk,
Property & Inventory Manager,
Property Admin & General Service Officer,
Property Administration Officer,
Property and Distributor Expert,
Property and General Service,
Property and General Service Officer,
Property and General Services Officer,
Property Attendant/Steward Supervisor,
Property Inventory and Monitoring Officer,
Property Management,
Property Manager,
Property Registration and Control Worker,
Property Valuation Engineer,
Property Valuation Expert,
Property Valuation Officer,
Property Valuation Supervisor,
Property Valuation Surveyor,
Property Valuato,
Property Valuer,
"Property, Planning, Inspection & Receiving Officer",
"Property, Real Estate, and Community Association Managers",
Proposal / Grant Writer,
Proposal Developer,
Proposal Development Strategist,
Proposal Maker for Development Bank Of Ethiopia,
Proposal Writer Intern,
Prosthetic Orthotic,
Prosthetic Orthotic Technician,
Prosthetic-Orthotic Aide,
prosthetics and orthotics,
prosthodontists,
protected areas development expert,
protected areas law enforcement warden,
protected land conservation and green legacy expansion specialist,
Protection & Inclusion Officer,
Protection Analysis and Information Management Specialist,
protection and cleaning,
Protection and Gender Based Violence Specialist,
Protection and Gender Coordinator,
Protection and Gender Officer,
Protection and Inclusion Officer,
Protection Cluster Coordinator,
Protection Coordinator,
Protection Family Links Field Officer,
Protection Manager,
Protection Officer,
Protection Specialist,
Protection Team Leader,
"Protection, Mental Health and Psychosocial Support Advisor",
Protection/MHPSS Program Host Mother,
Protection-Safeguarding and GBV Coordinator,
"protective service workers, all other",
protocol expert,
"protocol, event and secretariat affairs executive",
PSE Officer,
PSI Officer,
psychiatric aides,
Psychiatric Nurse,
psychiatric technicians,
psychiatrists,
Psychiatry Nurse,
psychiatry professional,
psychological and social services coordination,
Psychological counselor,
Psychological researcher and analysist,
Psychological Services and Capacity Building Consultant,
psychological services professional,
Psychologist,
Psychologist/Communication,
"Psychologists, All Other",
psychology teacher,
"Psychology Teachers, Postsecondary",
Psychology Trainer,
Psychometrics evaluation & skill identification expert,
Psychometrics expert,
Psychosocial Counsellor,
Psychosocial Hazards,
Psychosocial Support Officer,
Psychotherapist Supervisor,
Psychotherapist/Trainer,
Psychotherapy Treatment and Education,
Public & International Relations Executive,
Public Affairs and Communications Manager,
Public Affairs Director,
Public and Freight Transport Affairs Executive,
Public and Freight Transport Regulatory,
Public and Freight Transport Service Expansion,
Public Area Attendant,
Public Awareness and Beneficiary Expert,
Public Awareness and Beneficiary Warden,
"Public Budget and Finance Study, Investigation and Monitoring",
Public Communication and Marketing Manager,
Public Expenditure,
Public Finance,
Public Finance Reform,
Public Finance/Municipal Finance Expert,
public health,
Public Health Care,
Public Health Coordinator,
Public Health Data Search and Reviewer,
Public Health Engineering,
Public Health Facilitator,
Public Health Lecturer,
Public Health Officer,
public higher education licensing,
public private partnerships,
public procurement and property operational and legal audit and monitoring,
public procurement and property planning and information management,
Public Relation and Fund Raising Mobilize Officer,
Public Relations & Promotion Officer,
public relations and communication,
Public Relations and Communication Officer,
Public Relations and Marketing,
Public Relations Coordinator,
Public Relations Executive,
Public Relations Expert,
Public Relations Manager,
Public Relations Office Head,
Public Relations Officer,
Public Relations Specialist,
Public Safety Telecommunicator,
Public Speaking Trainer,
Public Transport Terminal,
Public Transport Terminal Regulatory,
Publication Graphic Designer,
Publication Outputs Preparation and Distribution Team,
Publicist/ Writer,
Public-Private Partnership Department,
Public-Private Partnership Framework Management and Contract Support,
Public-Private Partnership Project Preparation and Monitoring and Capacity Building,
Public-Private Partnership Study and Implementation Expert,
Pulmonary and Critical Care,
Pulses and Oilseeds Export Manager,
Pump Helper,
Pump Operator,
"pump operators, except wellhead pumpers",
Pump Technician,
"pump, generator, and electrical maintenance coordinator",
Purchase & Data Encoder,
Purchase Aanalyist,
Purchase and logistic superior,
Purchase and market expert,
Purchase Coordinator,
Purchase Division Head,
Purchase Expertise,
Purchase Follow-Up & Control Officer,
Purchase Officer,
purchase order,
Purchase to Pay (PTP) (Scanner),
Purchaser,
purchasing,
Purchasing & General Service,
Purchasing & Material Management Supervisor,
Purchasing & supplies Manager,
"purchasing agents, except wholesale, retail, and farm products",
Purchasing and Inventory Officer,
Purchasing and Logistic Head,
Purchasing and Procurement,
Purchasing and Property,
Purchasing and Supplies Management officer.,
purchasing managers,
Python (Django) and Flutter Developer,
Python and C++ Tutor for kids,
Python and Django developer,
Python and Flutter developer,
Python and JavaScript Developer,
Python Bug hunter,
Python coder for trading bot,
Python Data Analyst/Engineer,
python debugger(EXPERT),
Python Developer,
Python Developer / Machine Learning Engineer / Data Scientist / Data Analytics,
QA Engineer,
QA Pharmacist,
QA Specialist,
QA Tester,
QC Chemical Analyst,
QC Chemist,
QC Engineer,
QC Microbiology Analyst,
QC Test Engineer,
QHSSE Manager,
QMS & SMS Officer,
QR Code Developer,
QS Engineer,
Qualification Assurance Framework,
Qualitative Research and Evaluation Manger (M/F/D),
Quality & Technical Manager,
Quality Analyst,
quality and safety inspection sampling technician,
quality and safety testing sample officer,
quality and safety testing sample technician,
Quality Assessment Head,
Quality Assurance,
Quality Assurance & Monitoring officer Infrastructure Projects,
Quality Assurance & Research Service Head,
Quality Assurance Analyst,
Quality Assurance and Control Engineer,
Quality Assurance and Enhancement Officer,
Quality Assurance and Training Coordinator,
Quality Assurance Chemist,
Quality Assurance Coordinator,
Quality Assurance Department Manager,
Quality Assurance Division Head,
Quality Assurance Enhancement Officer,
Quality Assurance Head,
Quality Assurance Manager,
Quality Assurance Officer,
Quality Assurance Specialist ( Editor),
Quality Assurance Supervisor,
Quality Assurance Technician,
quality Auditor,
Quality Award Management and Quality Professional Certification,
Quality Award Researchers,
Quality Control,
quality control analysts,
Quality Control Engineer,
Quality Control Manager,
Quality Control Officer,
Quality Control Personnel,
quality control systems managers,
Quality Controller,
Quality Executive,
Quality Improvement Officer,
Quality Improvement Specialist,
Quality Infrastructure Institutions Monitoring,
Quality Infrastructure Institutions Monitoring and Support,
Quality Inspection & Assurance Specialist,
Quality Inspection and Certification Centers Monitoring and Support,
Quality Inspector,
Quality Management,
Quality Management Assessor,
Quality Management Coordinator,
Quality Management Service Head,
Quality Management System Supervisor,
quality management team leader,
quality manager,
quality of working life,
Quality Service Head,
Quality Support Advisor,
Quality Technician,
Quality Voice Over,
"Quality, Health, Safety, and Environment (QHSE) Officer",
Quantitative Data Analysis,
Quantity & Cost Engineer,
Quantity and Cost Engineer,
Quantity Engineer,
Quantity Survey and Cost Analysis,
Quantity Surveyor,
Quarantine and Inspection,
"Quelea Bird Research, Survey and Monitoring",
questionnaire,
Quran and Tajweed Teacher,
Quran Teacher,
R&D analyst ( research & development),
R&D and Quality Control Manager,
R&D Expert,
racial discrimination,
Radiation and Nuclear Technology Law Enforcement,
Radiation and Nuclear Technology Licensing,
radiation and nuclear technology notification and information compilation,
radiation and nuclear technology notification and licensing,
radiation and nuclear technology regulatory control,
radiation and nuclear technology safety inspection,
radiation and nuclear technology security and safeguards control,
radiation operations,
radiation operator and maintenance,
radiation therapist,
Radiator Maintenance Officer,
Radiator Maintenance Technician,
Radio & TV Commercial Scriptwriter,
Radio Analytical Laboratory,
Radio Announcer (Somali language),
Radio Communication Teacher,
Radio Frequency Data Engineer,
Radio Frequency Engineer,
Radio Frequency Identification Device,
Radio host and salesperson,
Radio Operator,
Radio Program Editor and Reporter,
Radio Program Organizer and Host,
Radio Show Assistant,
Radio Station Manager,
Radio Station Technical Coordinator,
Radio Technician,
"Radio, Cellular, and Tower Equipment Installers and Repairers",
Radioactive Waste Management and Emergency Preparedness and Response,
