Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
ICT and Digitalization Advisor,የአይሲቲ እና የዲጂታል አሰራር አማካሪ,P,,
ICT and GIS Specialist,የአይሲቲ እና የጂአይኤስ ስፔሻሊስት,P,,
ICT and MIS Expert,የአይሲቲ እና የኤምአይኤስ ባለሙያ,P,,
Ict and network engineer,ICT እና የአውታረ መረብ መሐንዲስ,P,,
ICT Application Expert,የአይሲቲ ማመልከቻ ባለሙያ,P,,
ICT Assistant - Maternity Cover,የአይሲቲ ረዳት - የወሊድ ሽፋን,P,,
ICT Lab Technician,የአይሲቲ ላብ ቴክኒሽያን,P,,
ICT Marketing,የአይሲቲ ግብይት,P,,
ICT Support and Archive officer,የአይሲቲ ድጋፍ እና ማህደር ኦፊሰር,P,,
ICT Support and Digital Marketing Officer,የአይሲቲ ድጋፍ እና ዲጂታል ግብይት ኦፊሰር,P,,
ICT support officer at Landmark General Hospital,በላንድማርክ አጠቃላይ ሆስፒታል የአይሲቲ ድጋፍ ኦፊሰር,P,,
ICT System Administrator Head,የአይሲቲ ስርዓት አስተዳዳሪ ኃላፊ,P,,
ICT Technical and Infrastructure Development Assessor and Operational Trainer,የአይሲቲ ቴክኒካል እና መሠረተ ልማት ልማት ገምጋሚ ​​እና የአሠራር አሰልጣኝ,P,,
ICT Technical Support,የአይሲቲ የቴክኒክ ድጋፍ,P,,
ICU and Critical Care Nurse,አይሲዩ እና ወሳኝ እንክብካቤ ነርስ,P,,-
ICU Cardiac Nurse,ICU የልብ ነርስ,P,,-
Identity and Collaboration Consultant,የማንነት እና የትብብር አማካሪ,P,,
IDS Support Executive,የIDS ድጋፍ አስፈፃሚ,P,,
IFB Financing Analysis & Appraisal Officer,የIFB ፋይናንሲንግ ትንተና እና ግምገማ ኦፊሰር,P,,
IFB Financing Portfolio and Recovery Mg’t Officer,የIFB ፋይናንሲንግ ፖርትፎሊዮ እና መልሶ ማግኛ ኤምጂት ኦፊሰር,P,,
IFB Information Documentation Officer,የ IFB መረጃ ሰነድ ኦፊሰር,P,,
IFB Operations Officer,IFB ኦፕሬሽን ኦፊሰር,P,,
IFB Research and Development Officer,IFB የምርምር እና ልማት ኦፊሰር,P,,
IFB Senior Credit Analyst,IFB ሲኒየር ክሬዲት ተንታኝ,P,,
IFB Senior CRM,IFB ሲኒየር CRM,P,,
IFRS Adoption Officer,IFRS ጉዲፈቻ ኦፊሰር,P,,
IFRS OFFICER' for a Property Valuation company,IFRS OFFICER ለንብረት ዋጋ ኩባንያ,P,,
ILaNS Technical Program Coordinator,የILANS የቴክኒክ ፕሮግራም አስተባባሪ,P,,
Illustration and Storyboard Artist,ምሳሌ እና ታሪክ ሰሌዳ አርቲስት,P,,
illustrator and digital artist,ገላጭ እና ዲጂታል አርቲስት,P,,
Illustrator/animator/desginer,ገላጭ / አኒሜሽን / ዲዛይነር,P,,
Illustrator for B&W traditional African designs,ለB&W ባህላዊ የአፍሪካ ንድፎች ገላጭ,P,,
Imaginative business card designer,ምናባዊ የንግድ ካርድ ዲዛይነር,P,,
IMAM Research Project Coordinator,IMAM የምርምር ፕሮጀክት አስተባባሪ,P,,
"I'm look for someone who build a software that can manage accounting, inventory and CRM. Its a lisencing deal",የሂሳብ አያያዝን፣ ኢንቬንቶሪን እና CRMን ማስተዳደር የሚችል ሶፍትዌር የሚገነባ,P,,
I'm Looking for a partimer drugist for a pharmacy,ለፋርማሲ የፓርቲመር መድሀኒት ባለሙያ,P,,
Immunization Advisor,የክትባት አማካሪ,P,,
Immunization Project Officer (Re-Advertisement),የክትባት ፕሮጀክት ኦፊሰር,P,,
Impact Manager/Marketing Distribution,ተጽዕኖ አስተዳዳሪ / የግብይት ስርጭት,P,,
Implementation Director,የትግበራ ዳይሬክተር,P,,
Implementation Research Advisor,የትግበራ ምርምር አማካሪ,P,,
Implementation Support Assistant,የትግበራ ድጋፍ ረዳት,P,,
Import and Export Operation Manager,የማስመጣት እና ወደ ውጪ መላክ ኦፕሬሽን ሥራ አስኪያጅ,P,,
Import Documentation and Marketing Officer,ሰነዶች እና ግብይት ኦፊሰር,P,,
Import & Export Department Manager,አስመጪ እና ላኪ መምሪያ አስተዳዳሪ,P,,
Import/Export Documentation Manager,የማስመጣት/ወደ ውጪ መላክ የሰነድ ስራ አስኪያጅ,P,,
Import Export operation Manager,ወደ ውጪ መላክ ኦፕሬሽን አስተዳዳሪ,P,,
Import Facilitation Officer (EXPERIENCE MANADATORY),የማስመጣት አመቻች ኦፊሰር,P,,
Import & Logistic Officer,አስመጪ እና ሎጂስቲክስ ኦፊሰር,P,,
Import Technical manager,አስመጪየቴክኒክ አስተዳዳሪ,P,,
Inbound Logistics Supervisor,የመግቢያ ሎጅስቲክስ ተቆጣጣሪ,P,,
Inclusive and Special Need Expert,አካታች እና የልዩ ፍላጎት ባለሙያ,P,,
Inclusive Health Services Project officer for Inclusive MBMF project,አካታች የጤና አገልግሎት ፕሮጀክት ኦፊሰር ለአካታች MBMF ፕሮጀክት,P,,
Inclusive Value Chain Development Advisor - Highland Resilience Activity,አካታች እሴት ሰንሰለት ልማት አማካሪ - ሃይላንድ የመቋቋም እንቅስቃሴ,P,,
Income Auditor,የገቢ ኦዲተር,P,,
Income Generating Activities (IGA) Manager,የገቢ ማስገኛ ተግባራት (ኢጋ) አስተዳዳሪ,P,,
Independent Sales Representative,ገለልተኛ የሽያጭ ተወካይ,P,,
Indirect Tv and Radio promoters,ቀጥተኛ ያልሆነ የቴሌቪዥን እና የሬዲዮ አራማጆች,P,,
Individual Consultant,የግለሰብ አማካሪ,P,,
Individual Gender Consultant For Primary Health Care,ለአንደኛ ደረጃ የጤና እንክብካቤ የግለሰብ የሥርዓተ-ፆታ አማካሪ,P,,
Indoor and Networking Sales,የቤት ውስጥ እና የአውታረ መረብ ሽያጭ,P,,
Industrial Automation Machine Builder,የኢንዱስትሪ አውቶሜሽን ማሽን ገንቢ,P,,
Industrial Designer,የኢንዱስትሪ ዲዛይነር,P,,
Industrial electrician,የኢንዱስትሪ ኤሌክትሪክ ባለሙያ,P,,
Industrial Electrician Mechanic,የኢንዱስትሪ ኤሌክትሪክ መካኒክ,P,,
Industrial Engineer,የኢንዱስትሪ መሐንዲስ,P,,
Industrial Machinery Installation and Maintenance Manager,የኢንዱስትሪ ማሽነሪዎች ተከላ እና ጥገና ሥራ አስኪያጅ,P,,
Industrial Maintenance Technician,የኢንዱስትሪ ጥገና ቴክኒሻን,P,,
Industrial Safety Supervisor,የኢንዱስትሪ ደህንነት ተቆጣጣሪ,P,,
Industrial safety technician,የኢንዱስትሪ ደህንነት ቴክኒሻን,P,,
Industrial sewing machine expert,የኢንዱስትሪ የልብስ ስፌት ማሽን ባለሙያ,P,,
Infant and Young Child Feeding in Emergencies (IYCF-E) Officer,የጨቅላ እና ትንንሽ ልጆች በአደጋ ጊዜ መመገብ (IYCF-E) ኦፊሰር,P,,
Infection Prevention and Control (IPC) Senior Expert,የኢንፌክሽን መከላከል እና ቁጥጥር (አይፒሲ) ከፍተኛ ኤክስፐርት,P,,
Influencer marketing coordinator,ተጽዕኖ ፈጣሪ የግብይት አስተባባሪ,P,,
Infographics and Website Designer,ኢንፎግራፊክስ እና የድር ጣቢያ ዲዛይነር,P,,
Infographics creator and animator,የኢንፎግራፊክስ ፈጣሪ እና አኒሜተር,P,,
Infographics Creator & Video Editor,የኢንፎግራፊክስ ፈጣሪ እና ቪዲዮ አርታዒ,P,,
Information and Communications technology,የመረጃ እና የመገናኛ ቴክኖሎጂ,P,,
Information and Communication Technology Trainer (ICT Trainer),የኢንፎርሜሽን እና የመገናኛ ቴክኖሎጂ አሰልጣኝ (አይሲቲ አሰልጣኝ),P,,
Information center clerk,የመረጃ ማዕከል ጸሐፊ,P,,
Information Counselling and Legal Assistant (ICLA) Officer,የመረጃ ማማከር እና የህግ ረዳት (ICLA) ኦፊሰር,P,,
Information Hub Programme Officer,የመረጃ ማዕከል ፕሮግራም ኦፊሰር,P,,
Information Management and Digital Systems Specialist,የመረጃ አስተዳደር እና ዲጂታል ሲስተምስ ስፔሻሊስት,P,,
Information Management and Documentation Expert,የመረጃ አስተዳደር እና የሰነድ ባለሙያ,P,,
Information Management Assistant-CCCM,የመረጃ አስተዳደር ረዳት-CCCM,P,,
Information Management Coordinator,የመረጃ አስተዳደር አስተባባሪ,P,,
Information Management Officer,የመረጃ አስተዳደር ኦፊሰር,P,,
Information on ride hailing business,ስለ ግልቢያ ማሞገስ ንግድ መረጃ,P,,
Information Security Analyst,የመረጃ ደህንነት ተንታኝ,P,,
Information Security Officer,የመረጃ ደህንነት ኦፊሰር,P,,
Information Services Specialist (Addis Ababa),የመረጃ አገልግሎት ስፔሻሊስት (አዲስ አበባ),P,,
Information System Auditor,የመረጃ ስርዓት ኦዲተር,P,,
Information System Department Manager,የመረጃ ሥርዓት ክፍል አስተዳዳሪ,P,,
Information Systems Officer,የኢንፎርሜሽን ሲስተምስ ኦፊሰር,P,,
INFORMATION SYSTEMS SPECIALIST,የመረጃ ስርዓቶች ስፔሻሊስት,P,,
Information Technology Department Manager,የኢንፎርሜሽን ቴክኖሎጂ ዲፓርትመንት ሥራ አስኪያጅ,P,,
Information Technology Expert,የኢንፎርሜሽን ቴክኖሎጂ ባለሙያ,P,,
Infrastructure Officer,የመሠረተ ልማት ኦፊሰር,P,,
Infrastructure Rehabilitation Overseer,የመሠረተ ልማት ማገገሚያ ተቆጣጣሪ,P,,
Infrastructure & Support Manager,መሠረተ ልማት እና ድጋፍ አስተዳዳሪ,P,,
InHouse Real Estate Sales Intern,የቤት ውስጥ ሪል እስቴት ሽያጭ ኢንተር,P,,
InHouse Service Technician,የቤት ውስጥ አገልግሎት ቴክኒሻን,P,,
Inhouse Web Designer/Developer,የቤት ውስጥ ድር ዲዛይነር/ገንቢ,P,,
Ink-jet Department Trainee (Graduates),የቀለም ጄት ዲፓርትመንት ሰልጣኝ,P,,
Innovation and Digital Marketing Officer,ፈጠራ እና ዲጂታል ግብይት ኦፊሰር,P,,
Innovation and Research Officer,ፈጠራ እና ምርምር ኦፊሰር,P,,
Innovation and System Development Officer,የኢኖቬሽን እና የስርዓት ልማት ኦፊሰር,P,,
Inperson or Online Tutor,በአካል ወይም በመስመር ላይ አስተማሪ,P,,
In service Training Advisor,በአገልግሎት ውስጥ የሥልጠና አማካሪ,P,,
In Service Training Assistant and Data Base Officer,በአገልግሎት ማሰልጠኛ ረዳት እና በዳታ ቤዝ ኦፊሰር,P,,
In-Service Training Coordinator,የውስጠ-አገልግሎት ማሰልጠኛ አስተባባሪ,P,,
Insights & Innovation Manager,ግንዛቤዎች እና ፈጠራ አስተዳዳሪ,P,,
Inspection & Material Handling Services Officer,የፍተሻ እና የቁሳቁስ አያያዝ አገልግሎት ኦፊሰር,P,,
Inspector Electro- Mechanical,ኢንስፔክተር ኤሌክትሮ-ሜካኒካል,P,,
Instagram And Facebook Advertiser,ኢንስታግራም እና ፌስቡክ አስተዋዋቂ,P,,
Instagram Graphics designers,የ Instagram ግራፊክስ ዲዛይነሮች,P,,
Instructional Design Advisor,የማስተማሪያ ንድፍ አማካሪ,P,,
Instruction Design Expert,መመሪያ ንድፍ ባለሙያ,P,,
INSTRUCTION TO BIDDER FOR THE AUDIT OF ACCOUNTS OF Association for Human Rights in Ethiopia AHRE,የአህሬ ሒሳብ ኦዲት ለጨረታ የወጣ መመሪያ,P,,
Instrumentation and automation Engineer,የመሳሪያ እና አውቶሜሽን መሐንዲስ,,,
Insurance and Safety Officer,ኢንሹራንስ እና ደህንነት መኮንን,P,,
Insurance & General Service Officer,ኢንሹራንስ እና አጠቃላይ አገልግሎት ኦፊሰር,P,,
Insurance Sales Agents,የኢንሹራንስ የሽያጭ ወኪሎች,P,,
Emergency Surgical Officer,የአደጋ ጊዜ የቀዶ ጥገና ኦፊሰር,P,,
Facility Manager,ፋሲሊቲ አስተዳዳሪ,P,,
Health System Strengthening Officer,የጤና ስርዓት ማጠናከሪያ ኦፊሰር,P,,
Livelihood And Nutrition Security/ILANS Officer,ኑሮ እና የተመጣጠነ ምግብ ደህንነት/ILANS ኦፊሰር,P,,
Pest Management (IPM) Scout Manager,የተባይ አስተዳደር (አይፒኤም) ስካውት አስተዳዳሪ,P,,
Service Center Coordinator,የአገልግሎት ማእከል አስተባባሪ,P,,
Water Resources Management Specialist,የውሃ ሀብት አስተዳደር ስፔሻሊስት,P,,
Web and Mobile app developer,የተዋሃደ የድር እና የሞባይል መተግበሪያ ገንቢ,P,,
Intellectual property lawyer,የአእምሯዊ ንብረት ጠበቃ,P,,
Inter Assistant Psychologist,ኢንተር ረዳት ሳይኮሎጂስት,P,,
Interen creative content creator,ውስጣዊ የፈጠራ ይዘት ፈጣሪ,P,,
Interen social media manager,የውስጥ ማህበራዊ ሚዲያ አስተዳዳሪ,P,,
Interest Free Banking Corporate CRM,ከወለድ ነፃ የባንክ ኮርፖሬት CRM,P,,
Interest Free Banking Operation Officer,ከወለድ ነፃ የባንክ ኦፕሬሽን ኦፊሰር,P,,
Interest Free Banking Retail CRM,ከወለድ ነፃ የባንክ ችርቻሮ CRM,P,,
Interfacing and microcomputing project,በይነተገናኝ እና ማይክሮ ኮምፒዩቲንግ ፕሮጀክት,P,,
Interfacing course project,መስተጋብር ኮርስ ፕሮጀክት,P,,
Intergrated Livelihood and Nutrition Security Officer,የተቀናጀ የኑሮ እና የተመጣጠነ ምግብ ደህንነት ኦፊሰር,P,,
Interim Branch Manager,ጊዜያዊ የቅርንጫፍ አስተዳዳሪ,P,,
Interior Designer for Wood Working Company,የእንጨት ሥራ ኩባንያ የውስጥ ንድፍ አውጪ,P,,
Interior Design For Wedding Studio,የውስጥ ዲዛይን ለሠርግ ስቱዲዮ,P,,
Interior design school trainer,የቤት ውስጥ ዲዛይን ትምህርት ቤት አሰልጣኝ,P,,
Data center Technician,የውሂብ ማዕከል ቴክኒሻን,P,,
PHP developer,ፒኤችፒ ገንቢ,P,,
PHP programer,ፒኤችፒ ፕሮግራም አውጪ,P,,
Technology sales expert,የቴክኖሎጂ ሽያጭ ባለሙያ,P,,
Warehouse Store Keeper,መካከለኛ የመጋዘን መደብር ጠባቂ,I,,
account and casher,መለያ እና ገንዘብ ተቀባይ,,,
3ds Max software trainer,3ds Max ሶፍትዌር አሰልጣኝ,P,,
Audit Division Manger,ኦዲት ክፍል ሜንጀር,P,,
Auditor & Control Division Manager,ኦዲተር እና ቁጥጥር ክፍል አስተዳዳሪ,P,,
Auditor & Risk Department Manager,ኦዲተር እና ስጋት መምሪያ ሥራ አስኪያጅ,P,,
Audit Service Head,ኦዲት አገልግሎት ኃላፊ,P,,
Quality Assurance Specialist ( Editor),የጥራት ማረጋገጫ ባለሙያ (አርታዒ),P,,
quality Auditor,ጥራት ኦዲተር,P,,
Internal Tax Auditor,የውስጥ ታክስ ኦዲተር,P,,
intern Android Developer,intern አንድሮይድ ገንቢ,P,,
Intern- Archivist,ኢንተርን - አርኪቪስት,P,,
International card holder,ዓለም አቀፍ ካርድ ያዥ,P,,
International Coffee marketer,ዓለም አቀፍ ቡና ገበያተኛ,P,,
International English Proficiency Exams Coach,አለምአቀፍ የእንግሊዘኛ የብቃት ፈተናዎች አሰልጣኝ,P,,
International Health Regulations Strengthening Project – Technical Advisor,የአለም አቀፍ የጤና ደንቦች ማጠናከሪያ ፕሮጀክት - የቴክኒክ አማካሪ,P,,
international trade relation manager,ዓለም አቀፍ ንግድ ግንኙነት አስተዳዳሪ,P,,
Intern audio editor and account manager,የውስጥ ኦዲዮ አርታኢ እና መለያ አስተዳዳሪ,P,,
"Intern, AYSRH program",ተለማማጅ፣ AYSRH ፕሮግራም,P,,
Intern Biomedical Technician,የውስጥ ባዮሜዲካል ቴክኒሻን,P,,
Intern Buisness Lawyer,የውስጥ የንግድ ሥራ ጠበቃ,P,,
InternBusiness and Economics,ኢንተርናሽናል ቢዝነስ እና ኢኮኖሚክስ,P,,
Intern charity organization assistant,የበጎ አድራጎት ድርጅት ረዳት,P,,
Intern Cloud Engineer,የውስጥ ደመና መሐንዲስ,P,,
intern COTM or civil engineer,intern COTM ወይም ሲቪል መሐንዲስ,P,,
Intern creative content developer/director,የውስጥ ፈጠራ ይዘት ገንቢ/ዳይሬክተር,P,,
