informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Spring Boot Developer,የፀደይ ቡት ገንቢ,P,,
springboot + vue.js developer,springboot + vue.js ገንቢ,P,,
Sprinkler system installment experts,የመርጨት ስርዓት ጭነት ባለሙያዎች,P,,
Spritual Jornalist and blog writer,መንፈሳዊ ጋዜጠኛ እና ብሎግ ጸሃፊ,P,,
SPSS,SPSS,U,,
SPSS and STATA Trainer,SPSS እና STATA አሰልጣኝ,U,,
SPSS data analysis Expert,የ SPSS መረጃ ትንተና ባለሙያ,P,,
SPSS data entry,የ SPSS ውሂብ ግቤት,P,,
SPSS or Rsoftware Professional,SPSS ወይም Rsoftware ፕሮፌሽናል,P,,
SPSS Personal Advisor,የ SPSS የግል አማካሪ,P,,
SPSS software expert,የ SPSS ሶፍትዌር ባለሙያ,P,,
SPSS/SATA software expert,SPSS/SATA ሶፍትዌር ባለሙያ,P,,
SQL and database developer,SQL እና የውሂብ ጎታ ገንቢ,P,,
SQL Database Administrator,የ SQL ዳታቤዝ አስተዳዳሪ,P,,
SQL trainer,SQL አሰልጣኝ,P,,
SQL/ BI Developer,SQL/ BI ገንቢ,P,,
SQL/SSIS/SSRS Developer,SQL/SSIS/SSRS ገንቢ,P,,
Sr Nutrition Coordination Specialist,Sr የአመጋገብ ማስተባበሪያ ባለሙያ,P,,
Sr Project Officer- Grants and Contracts,Sr የፕሮጀክት ኦፊሰር- ስጦታዎች እና ኮንትራቶች,P,,
Sr Supply Chain Officer,Sr አቅርቦት ሰንሰለት ኦፊሰር,P,,
Sr. Advisor-Conflict Sensitivity,ሲር አማካሪ - የግጭት ስሜት,P,,
Sr. Agronomy Advisor,ሲር አግሮኖሚ አማካሪ,P,,
Sr. Copy Editor/Writer (English),ሲ. ኮፒ አርታዒ/ጸሐፊ (እንግሊዝኛ),P,,
Sr. Copywriter,ሲ/ር ቅጂ ጸሐፊ,P,,
Sr. Cost & Budget Accountant,ሲ/ር ወጪ እና በጀት አካውንታንት,P,,
Sr. Credit Workout Officer,Sr. ክሬዲት Workout ኦፊሰር,P,,
Sr. Database administrator,Sr. የውሂብ ጎታ አስተዳዳሪ,P,,
Sr. Developer,ሲኒየር ገንቢ,P,,
Sr. Electrical & Instrument technician,ሲር ኤሌክትሪካል እና መሳሪያ ቴክኒሻን,P,,
Sr. Events Manager,Sr. የክስተት አስተዳዳሪ,P,,
Sr. Full Stack Dev,ሲር ሙሉ ቁልል ዴቭ,P,,
"Sr. Gender, Youth and Social Inclusion (GYSI) Advisor",ሲ/ር ጾታ፣ ወጣቶች እና ማህበራዊ ማካተት (GYSI) አማካሪ,P,,
Sr. Graphics Designer,Sr. ግራፊክስ ዲዛይነር,P,,
Sr. Health and Nutrition Officer,ሲ/ር ጤና እና አመጋገብ ኦፊሰር,P,,
"Sr. Officer, Credit Appraisal",ሲር ኦፊሰር፣የክሬዲት ግምገማ,P,,
"Sr. Officer, Training and Development","Sr. መኮንን, ስልጠና እና ልማት",P,,
Sr. Operation and Customer Client Care,ሲር ኦፕሬሽን እና የደንበኛ ደንበኛ እንክብካቤ,P,,
Sr. Operation Officer,ሲር ኦፕሬሽን ኦፊሰር,P,,
Sr. Performance Engineer,ሲኒየር የአፈጻጸም መሐንዲስ,P,,
Sr. Plumber,Sr. የቧንቧ ሰራተኛ,P,,
Sr. Procurement Officer,ሲ/ር የግዥ ኦፊሰር,P,,
Sr. Radiology Technologist,ሲር ራዲዮሎጂ ቴክኖሎጅስት,P,,
Sr. Security Risk Assessment & Prevention Officer,ሲ/ር የደህንነት ስጋት ግምገማ እና መከላከል ኦፊሰር,P,,
Sr. Supervision Officer,ሲ/ር ሱፐርቪዥን ኦፊሰር,P,,
Sr. Supply Chain Coordinator,ሲ/ር የአቅርቦት ሰንሰለት አስተባባሪ,P,,
"Sr. Technical Specialist, Immunization",ሲኒየር ቴክኒካል ስፔሻሊስት፣ ክትባት,P,,
Sr. Technical Specialist-Social Behavioural Change,ሲ/ር ቴክኒካል ስፔሻሊስት-ማህበራዊ ባህሪ ለውጥ,P,,
Sr. Utility Operator & Technician,ሲር መገልገያ ኦፕሬተር እና ቴክኒሽያን,P,,
Sr. Veterinarian,ሲር የእንስሳት ሐኪም,P,,
Sr. Visual Designer,Sr. ቪዥዋል ዲዛይነር,P,,
SRH Clinical Officer,SRH ክሊኒካል ኦፊሰር,P,,
SRH Counsellor,የSRH አማካሪ,P,,
SRH Officer,የSRH መኮንን,P,,
SRH Program Manager,የ SRH ፕሮግራም አስተዳዳሪ,P,,
SRHR & Child Protection Project Manager,የSRHR እና የህጻናት ጥበቃ ፕሮጀክት ስራ አስኪያጅ,P,,
SRHR Project Coordinator,የSRHR ፕሮጀክት አስተባባሪ,P,,
SRHR Trainer,የ SRHR አሰልጣኝ,P,,
SRT editor,SRT አርታዒ,P,,
"SRT, transcription and translation",SRT፣ ግልባጭ እና ትርጉም,P,,
Staff Canteen Attendant,የሰራተኛ ካንቴን ረዳት,P,,
Staff Safety & Access Manager,የሰራተኞች ደህንነት እና መዳረሻ አስተዳዳሪ,P,,
Staff Safety and Liaison Coordinator,የሰራተኞች ደህንነት እና ግንኙነት አስተባባሪ,P,,
Staff Wellbeing Officer,የሰራተኞች ደህንነት ኦፊሰር,P,,
Staff Wellness & Employee Engagement Specialist,የሰራተኞች ደህንነት እና የሰራተኛ ተሳትፎ ስፔሻሊስት,P,,
Staff Writer,የሰራተኛ ጸሐፊ,P,,
Staffing Manager,የሰራተኞች አስተዳዳሪ,P,,
Stage light designer,የመድረክ ብርሃን ዲዛይነር,P,,
Stage light sound and screen builders,የመድረክ ብርሃን ድምጽ እና ስክሪን ግንበኞች,P,,
Stakeholder Relation Manager,ባለድርሻ አካላት ግንኙነት አስተዳዳሪ,P,,
Stakeholders' Relation Manager,የባለድርሻ አካላት ግንኙነት አስተዳዳሪ,P,,
Staking platform Developer,የስታኪንግ መድረክ ገንቢ,P,,
Stall and Market Salespersons,የድንኳን እና የገበያ ሻጮች,P,,
Stand up Comedy Performer,ኮሜዲያን ተነሳ,U,,
Standard quality English American accent voice over,መደበኛ ጥራት ያለው የእንግሊዘኛ አሜሪካዊ የአነጋገር ድምፅ በላይ,U,,
Startup Business Advisor,የጀማሪ ንግድ አማካሪ,P,,
Startup CTO,ጅምር CTO,U,,
Startup Female actress,ጀማሪ ሴት ተዋናይ,P,,
Startup manager,የጀማሪ አስተዳዳሪ,P,,
Stata and/or Eviews analysis,የስታታ እና/ወይም የእይታዎች ትንተና,U,,
Stata data analysis,የስታታ ውሂብ ትንተና,P,,
Stata or Eviews Expert,የስታታ ወይም የእይታዎች ባለሙያ,U,,
Stationary Pump Helper,የማይንቀሳቀስ ፓምፕ ረዳት,U,,
Stationary Pump Operator,የማይንቀሳቀስ ፓምፕ ኦፕሬተር,U,,
Stationery Concrete Pump Operator,የጽህፈት መሳሪያ ኮንክሪት ፓምፕ ኦፕሬተር,P,,
Statistical analyst,የስታቲስቲክስ ተንታኝ,P,,
Statistician,የስታቲስቲክስ ባለሙያ,P,,
Statistics instructor,የስታቲስቲክስ አስተማሪ,P,,
Steel Engineering Section Head,የብረት ምህንድስና ክፍል ኃላፊ,P,,
Steel plant technical manager,የአረብ ብረት ተክል ቴክኒካል ሥራ አስኪያጅ,P,,
Steel Workshop Manager,ብረት ወርክሾፕ አስተዳዳሪ,P,,
STEPS Survey Coordinator,ደረጃዎች የዳሰሳ አስተባባሪ,P,,
Stock & Property Administration Supervisor,የአክሲዮን እና ንብረት አስተዳደር ተቆጣጣሪ,P,,
Stock / Workshop Clerk,የአክሲዮን / ወርክሾፕ ጸሐፊ,P,,
Stock accountant,የአክሲዮን አካውንታንት,P,,
Stock Control Accountant,የአክሲዮን ቁጥጥር አካውንታንት,P,,
Stock Control Head,የአክሲዮን ቁጥጥር ኃላፊ,P,,
Stock Controller,የአክሲዮን መቆጣጠሪያ,P,,
Stock Record Clerk,የአክሲዮን መዝገብ ጸሐፊ,P,,
Stock/share Sales officer and agent,የአክሲዮን / ያጋሩ የሽያጭ መኮንን እና ወኪል,P,,
Store Administration and Distribution Division Head,የመደብር አስተዳደር እና ስርጭት ክፍል ኃላፊ,P,,
Store and Inventory Management Lead,የማከማቻ እና የእቃዎች አስተዳደር መሪ,P,,
Store and Property Administration Head,የመደብር እና ንብረት አስተዳደር ኃላፊ,P,,
Store Keeper II,የመደብር ጠባቂ II,U,,
Store Laborer,የሱቅ ሰራተኛ,U,,
Store Loader,የማከማቻ ጫኝ,U,,
Store Management Officer,የመደብር አስተዳደር ኦፊሰር,P,,
Storyboard artist,የታሪክ ሰሌዳ አርቲስት,P,,
Storyboard Artist | Illustrator | Comic Book Artist,የታሪክ ሰሌዳ አርቲስት | ገላጭ | የኮሚክ መጽሐፍ አርቲስት,P,,
Storyboard/Concept Artist,የታሪክ ሰሌዳ / ፅንሰ-ሀሳብ አርቲስት,P,,
Strategic and Change Management Service Manager,ስትራቴጂክ እና ለውጥ አስተዳደር አገልግሎት አስተዳዳሪ,P,,
Strategic Business Developer,ስትራቴጂክ የንግድ ገንቢ,P,,
Strategic Communication and Marketing Manager,ስልታዊ የግንኙነት እና የግብይት ስራ አስኪያጅ,P,,
Strategic Growth and Development Manager,የስትራቴጂክ ዕድገትና ልማት ሥራ አስኪያጅ,P,,
Strategic Partnership and Relationship Officer II,የስትራቴጂክ አጋርነት እና ግንኙነት ኦፊሰር II,P,,
Strategic planner,ስልታዊ እቅድ አውጪ,P,,
Strategic Planning Analyzing Officer,የስትራቴጂክ እቅድ ትንተና ኦፊሰር,P,,
Strategic Planning and Reporting Expert,የስትራቴጂክ እቅድ እና የሪፖርት አቀራረብ ባለሙያ,P,,
Strategic Promotion and Marketing Officer,የስትራቴጂክ ፕሮሞሽን እና ግብይት ኦፊሰር,P,,
Strategic Sourcing Director,የስትራቴጂክ ምንጭ ዳይሬክተር,P,,
Strategy & Planning Manager,ስትራቴጂ እና እቅድ አስተዳዳሪ,P,,
Strategy Advisor/Country Desk Officer,የስትራቴጂ አማካሪ/የሀገር ዴስክ ኦፊሰር,P,,
Strategy Analyst,የስትራቴጂ ተንታኝ,P,,
Strategy and Change Management Department Director,ስትራቴጂ እና ለውጥ አስተዳደር መምሪያ ዳይሬክተር,P,,
Strategy and Change Management Officer,ስትራቴጂ እና ለውጥ አስተዳደር ኦፊሰር,P,,
Strategy Implementation and Follow–up Supervisor,የስትራቴጂ ትግበራ እና ክትትል ተቆጣጣሪ,P,,
String Art,ሕብረቁምፊ ጥበብ,P,,
Structural / Geotech Engineering,መዋቅራዊ / ጂኦቴክ ኢንጂነሪንግ,P,,
Structural and sanitary design,መዋቅራዊ እና የንፅህና አጠባበቅ ንድፍ,P,,
Structural design engineer,የመዋቅር ንድፍ መሐንዲስ,P,,
Structural designer/Civil engineer,መዋቅራዊ ዲዛይነር / ሲቪል መሐንዲስ,P,,
Structural Draftsman,መዋቅራዊ ንድፍ አውጪ,P,,
Structural draftsman (CAD Expert),የመዋቅር ንድፍ አውጪ (CAD ኤክስፐርት),P,,
Structural Forman,መዋቅራዊ ፎርማን,P,,
Structural Geologist IV,መዋቅራዊ ጂኦሎጂስት IV,P,,
Structural Superintendent,መዋቅራዊ የበላይ ተቆጣጣሪ,P,,
Structured cabling installer,የተዋቀረ የኬብል መጫኛ,P,,
Student Counsel and Social Emotional Learning Coordinator,የተማሪ ምክር እና ማህበራዊ ስሜታዊ ትምህርት አስተባባሪ,P,,
Student Guidance & Councilor,የተማሪ መመሪያ እና አማካሪ,P,,
Student Record and Data Administrator,የተማሪ መዝገብ እና የውሂብ አስተዳዳሪ,P,,
Student Supervisor,የተማሪ ተቆጣጣሪ,P,,
Student Support Dean,የተማሪ ድጋፍ ዲን,P,,
Student Support Service,የተማሪ ድጋፍ አገልግሎት,P,,
Students Affairs Officer,የተማሪዎች ጉዳይ ኃላፊ,P,,
Studio Booth Builder,ስቱዲዮ ቡዝ ገንቢ,P,,
Studio Executive,ስቱዲዮ አስፈፃሚ,P,,
Studio Manager,የስቱዲዮ አስተዳዳሪ,P,,
Studio Photographer,ስቱዲዮ ፎቶ አንሺ,P,,
Studio Production Manager,የስቱዲዮ ፕሮዳክሽን ሥራ አስኪያጅ,P,,
Studio soundproofing work,ስቱዲዮ የድምፅ መከላከያ ሥራ,P,,
Study abroad/visa consultant,የውጭ አገር ጥናት/የቪዛ አማካሪ,U,,
Study Data Collector,የጥናት መረጃ ሰብሳቢ,P,,
"Subcontracts Officer, Ethiopia Sustainable Peace Activity",የንዑስ ኮንትራቶች ኦፊሰር፣ ኢትዮጵያ ዘላቂ የሰላም እንቅስቃሴ,U,,
Subgrants Officer,ንዑስ ክፍል መኮንን,P,,
Subject Specialist,ርዕሰ ጉዳይ ስፔሻሊስት,P,,
Subscription Payer,የደንበኝነት ምዝገባ ከፋይ,U,,
Subscription reseller,የደንበኝነት ምዝገባ ሻጭ,P,,
Subsidiary Transformation Program (STP) Director,ንዑስ ትራንስፎርሜሽን ፕሮግራም (STP) ዳይሬክተር,P,,
Substitute Teachers,ምትክ አስተማሪዎች,P,,
subtitle writer,ንዑስ ርዕስ ጸሐፊ,P,,
Sudan Regional Response Coordinator,የሱዳን ክልል ምላሽ አስተባባሪ,P,,
Summer Camp Kids Coordinator,የበጋ ካምፕ የልጆች አስተባባሪ,P,,
Summer Camp Organizer,የበጋ ካምፕ አደራጅ,P,,
Summertime Programming Instructor,የበጋ ፕሮግራሚንግ አስተማሪ,P,,
Sup Project I & II Coordinator,Sup ፕሮጀክት I & II አስተባባሪ,P,,
Supervisory USAID Development Assistance Specialist (Family Health Team Lead),ተቆጣጣሪ ዩኤስኤአይዲ የልማት እርዳታ ባለሙያ (የቤተሰብ ጤና ቡድን መሪ),P,,
Supplies & Stock Management Unit Head,አቅርቦቶች እና የአክሲዮን አስተዳደር ክፍል ኃላፊ,P,,
Supplies and Follow-up Officer,አቅርቦቶች እና ክትትል ኦፊሰር,P,,
Supplies Trading & Maintenance Manager,የግብይት እና የጥገና ሥራ አስኪያጅ,P,,
Supply & Procurement coordinator,የአቅርቦት እና ግዥ አስተባባሪ,P,,
Supply & Property Administration Division Head,አቅርቦት እና ንብረት አስተዳደር ክፍል ኃላፊ,P,,
Supply Activity Manager,የአቅርቦት እንቅስቃሴ አስተዳዳሪ,P,,
Supply and Logistics Division Head,የአቅርቦት እና ሎጂስቲክስ ክፍል ኃላፊ,P,,
Supply and Logistics Officer,የአቅርቦት እና የሎጂስቲክስ ኦፊሰር,P,,
Supply and Procurement Departement Head,የአቅርቦትና ግዥ ዲፓርትመንት ኃላፊ,P,,
Supply and Warehouse Team leader.,የአቅርቦት እና የመጋዘን ቡድን መሪ,P,,
Supply Assistant,የአቅርቦት ረዳት,P,,
Supply Chain & Distribution Manager,የአቅርቦት ሰንሰለት እና ስርጭት አስተዳዳሪ,P,,
Supply Chain Administrator,የአቅርቦት ሰንሰለት አስተዳዳሪ,P,,
Supply chain and ripening Supervisor,የአቅርቦት ሰንሰለት እና የበሰለ ተቆጣጣሪ,P,,
Supply Chain Business Controller,የአቅርቦት ሰንሰለት የንግድ መቆጣጠሪያ,P,,
Supply Chain Coordinator,የአቅርቦት ሰንሰለት አስተባባሪ,P,,
Supply Chain Director,የአቅርቦት ሰንሰለት ዳይሬክተር,P,,
Supply Chain Division Head,የአቅርቦት ሰንሰለት ክፍል ኃላፊ,P,,
Supply Chain Due Diligence Manager,የአቅርቦት ሰንሰለት ተገቢ ትጋት አስተዳዳሪ,P,,
Supply chain engineer,የአቅርቦት ሰንሰለት መሐንዲስ,P,,
Supply Chain Head,የአቅርቦት ሰንሰለት ራስ,P,,
Supply Chain Indirects Accountant,የአቅርቦት ሰንሰለት ቀጥተኛ ያልሆኑ አካውንታንት,P,,
Supply Chain Junior Officer,የአቅርቦት ሰንሰለት ጁኒየር ኦፊሰር,P,,
Supply Chain Modelling and Simulation,የአቅርቦት ሰንሰለት ሞዴሊንግ እና ማስመሰል,P,,
Supply Chain Senior Expert,የአቅርቦት ሰንሰለት ከፍተኛ ባለሙያ,P,,
Supply Chain Senior Officer,የአቅርቦት ሰንሰለት ከፍተኛ ኦፊሰር,P,,
Supply chain specialists,የአቅርቦት ሰንሰለት ስፔሻሊስቶች,P,,
supply chain supervisor assistant,የአቅርቦት ሰንሰለት ተቆጣጣሪ ረዳት,P,,
Supply Chain Team Leader,የአቅርቦት ሰንሰለት ቡድን መሪ,P,,
Supply Department Manager,አቅርቦት መምሪያ አስተዳዳሪ,P,,
Supply Logistics Coordinator,የአቅርቦት ሎጂስቲክስ አስተባባሪ,P,,
Supply Management Officer,የአቅርቦት አስተዳደር ኦፊሰር,P,,
Support Agent,የድጋፍ ወኪል,P,,
Support and facilities Supervisor,ድጋፍ እና መገልገያዎች ተቆጣጣሪ,P,,
Support Coordinator,የድጋፍ አስተባባሪ,P,,
Support Engineer,መሐንዲስ ድጋፍ ሰጪ,P,,
Support Service Director,የድጋፍ አገልግሎት ዳይሬክተር,P,,
Support Service Team Leader,የድጋፍ አገልግሎት ቡድን መሪ,P,,
Support Services Manager,የድጋፍ አገልግሎቶች አስተዳዳሪ,P,,
"Support specialists, system administrators, and administrators",ስፔሻሊስቶችን፣ የስርዓት አስተዳዳሪዎችን እና አስተዳዳሪዎችን ይደግፉ,P,,
"Supporting & Chorus, Actors & Actresses",ደጋፊ እና መዘምራን፣ ተዋናዮች እና ተዋናዮች,P,,
Surgical Program Coordinator,የቀዶ ጥገና ፕሮግራም አስተባባሪ,P,,
Surveillance assistant,የክትትል ረዳት,P,,
Surveillance officer,የክትትል ኦፊሰር,P,,
Surveillance/ Security Officer,የክትትል/የደህንነት ኦፊሰር,P,,
Survey Collection Agent,የዳሰሳ ስብስብ ወኪል,P,,
