informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Shrink Packing Machine Operator,,,Manufacturing,Manufacturing of plastic products,የማሸጊያ ማሽን ኦፕሬተርን ይቀንሱ,U
Shuttle Driver,,,"Logistics, transportation and communication",Other scheduled land transport services,የማመላለሻ ሹፌር,P
Sidama language translator,,,Service,Other services,የሲዳማ ቋንቋ ተርጓሚ,U
Sign Language Interpreter,,,Service,Other services,የምልክት ቋንቋ አስተርጓሚ,P
Signatory Officer,,,Service,Finance and Administration Services,የፈራሚ መኮንን,U
Simple 3D Video Maker,,,Tourism and art,Motion Picture Works,ቀላል 3D ቪዲዮ ሰሪ,P
Singer and voice over actor,,,Tourism and art,Music Band,ዘፋኝ እና ድምጽ በተዋናይ ላይ,P
Singer/vocalist,,,Tourism and art,Music Band,ዘፋኝ/ድምፃዊ,P
Single Facer Machine Operator,,,Manufacturing,"Manufacture of pulp, paper and paper board andhandles made of paper and paper products",ነጠላ የፊት ማሽን ኦፕሬተር,U
Site Acquisition Manager,,,Construction,Construction land preparation,የጣቢያ ማግኛ አስተዳዳሪ,P
Site Acquisition Reporter,,,Construction,Construction land preparation,የጣቢያ ማግኛ ሪፖርተር,P
Site Administrator,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ አስተዳዳሪ,P
Site Hydro Geologist,,,Economic Infrastructure,Water construction,ጣቢያ ሃይድሮ ጂኦሎጂስት,P
Site inspector Engineer/ Assistant Resident Engineer,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ መርማሪ መሐንዲስ/ረዳት ነዋሪ መሐንዲስ,P
Site monitor,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ማሳያ,P
Site Nurse Mentor (St Paul's Hospital),,,Health,Health,የጣቢያ ነርስ አማካሪ (የቅዱስ ጳውሎስ ሆስፒታል),P
Site Passive Engineer (Operations and Maintenance),,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ተገብሮ መሐንዲስ (ኦፕሬሽን እና ጥገና),P
Site personal,,,Construction,General Contractor (Except for the from Water works contractor,ጣቢያ ግላዊ,P
Site Procurement Officer,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ግዥ ኦፊሰር,P
Site Project Manager,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ፕሮጀክት አስተዳዳሪ,P
Site Renovation Engineer,,,Construction,Building finishing works,የጣቢያ እድሳት መሐንዲስ,P
Site Representative,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ተወካይ,P
Site Security Guard Manager,,,Service,Security Service,የጣቢያ ደህንነት ጠባቂ አስተዳዳሪ,P
Site Store Head,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ መደብር ኃላፊ,P
Site supervisor,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ተቆጣጣሪ,P
Site Surveyor,,,Economic Infrastructure,Surveying & Drafting,የጣቢያ ዳሳሽ,P
Site Technical Coordinator,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ቴክኒካል አስተባባሪ,P
Site Time Keeper,,,Construction,General Contractor (Except for the from Water works contractor,የጣቢያ ጊዜ ጠባቂ,P
Skateboarder,,,Sport Culture and tourism,Sport,የስኬትቦርደር,U
Sketch artist,,,Tourism and art,Culture and Arts Education,ንድፍ አውጪ አርቲስት,P
Skill Development Officer,,,Service,"Other not-mentioned educational services (private tutoring, etc.)",የክህሎት ልማት ኦፊሰር,P
Skilled Tailor,,,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing,ችሎታ ያለው ልብስ ስፌት,P
Skin Care & Makeup Artist,,,Service,Hair and beauty care,የቆዳ እንክብካቤ እና ሜካፕ አርቲስት,P
Skin care products Marketer and Sales,,,Business,Retail of chemical and related products,የቆዳ እንክብካቤ ምርቶች ገበያተኛ እና ሽያጭ,P
SM Manager and Canva Designer,,,Service,Advertising,SM አስተዳዳሪ እና የካንቫ ዲዛይነር,P
Small Loan Services Officer,,,Service,Finance and Administration Services,አነስተኛ የብድር አገልግሎት ኦፊሰር,P
Smart Contract & Frontend Developer,,,ICT and digital work,Software Design Development and Implementation Works,ብልጥ ውል እና የፊት ገንቢ,P
Smart Contract Auditor,,,ICT and digital work,Software Design Development and Implementation Works,ስማርት ኮንትራት ኦዲተር,P
Smart contract Developer,,,ICT and digital work,Software Design Development and Implementation Works,ስማርት የኮንትራት ገንቢ,P
Smart Marketer,,,Service,Advertising,ስማርት ገበያተኛ,P
Smart Phone Repair Technician,,,Service,Other unmentioned repair jobs,የስማርት ስልክ ጥገና ቴክኒሻን,P
SME Bio-Medical Engineering Expert (m/f/d),,,Service,"Research and development work on human health, pharmacology",SME የባዮ-ሜዲካል ምህንድስና ባለሙያ (ሜ/ፈ/መ),P
SME Customer Relationship Manager,,,Service,Business Promotion Service,SME የደንበኛ ግንኙነት አስተዳዳሪ,P
SME Digital Marketing and Customer Acquisition Consultant (m/f),,,Service,Advertising,SME ዲጂታል ግብይት እና የደንበኛ ማግኛ አማካሪ (ሜ/ረ),P
"SME Food Processing, Hygiene and Safety Expert (m/f)",,,Service,Quality Management Consulting Service,SME የምግብ ማቀነባበሪያ፣ ንፅህና እና ደህንነት ባለሙያ (ሜ/ረ),P
Smoothie maker,,,Tourism and art,"Resturant,Coffee shop",ለስላሳ ሰሪ,U
SMS API,,,ICT and digital work,Software Design Development and Implementation Works,የኤስኤምኤስ ኤፒአይ,U
SMS Gateway Developers,,,ICT and digital work,Software Design Development and Implementation Works,የኤስኤምኤስ ጌትዌይ ገንቢዎች,P
Sms service developer with kannel,,,ICT and digital work,Software Design Development and Implementation Works,የኤስኤምኤስ አገልግሎት ገንቢ ከካንል ጋር,U
Sms service provider,,,"Logistics, transportation and communication",Instant messaging service except the national postal service,የኤስኤምኤስ አገልግሎት አቅራቢ,U
Snr Asphalt Plant Manager,,,Manufacturing,"Manufacture of concrete, cement and resin products",Snr አስፋልት ተክል አስተዳዳሪ,P
Snr Asset and Resource Manager,,,Service,Finance and Administration Services,Snr ንብረት እና ሀብት አስተዳዳሪ,P
Snr Concrete Plant Manager,,,Manufacturing,"Manufacture of concrete, cement and resin products",Snr ኮንክሪት ተክል አስተዳዳሪ,P
Snr Strategic SEO and PPC Manager,,,Service,Advertising,Snr ስትራቴጂክ SEO እና PPC አስተዳዳሪ,P
Snr Supply Chain Manager,,,Service,Logistics Supply and Support Services (outside of other business sectors),Snr አቅርቦት ሰንሰለት አስተዳዳሪ,P
Snr Warehouse Manager,,,"Logistics, transportation and communication",Stroage and warehousing service,Snr መጋዘን አስተዳዳሪ,P
SOAP API developer,,,ICT and digital work,Software Design Development and Implementation Works,የሶፕ ኤፒአይ ገንቢ,P
Soap Engineer,,,Manufacturing,Manufacturing of hygienic and cosmetic products ,የሳሙና መሐንዲስ,U
Soap factory production manager,,,Manufacturing,Manufacturing of hygienic and cosmetic products ,የሳሙና ፋብሪካ ማምረቻ ሥራ አስኪያጅ,P
SOC Analyst,,,ICT and digital work,Software Design Development and Implementation Works,SOC ተንታኝ,P
Social Accountability Advisor(Internal and External),,,Service,Consulting service around social science,ማህበራዊ ተጠያቂነት አማካሪ (ውስጣዊ እና ውጫዊ),P
Social Accountability Monitoring and Evaluation Officer,,,Service,Consulting service around social science,የማህበራዊ ተጠያቂነት ክትትል እና ግምገማ ኦፊሰር,P
Social Accountability Officer,,,Service,Consulting service around social science,የማህበራዊ ተጠያቂነት ኦፊሰር,P
Social Accountability Project Accountant,,,Service,Accounting audit and adminstrative works,ማህበራዊ ተጠያቂነት ፕሮጀክት አካውንታንት,P
Social Accountability Quality Assurance Officer,,,Service,Consulting service around social science,የማህበራዊ ተጠያቂነት ጥራት ማረጋገጫ ኦፊሰር,P
Social and Environmental Safeguards Officer,,,Service,Consulting service around social science,የማህበራዊ እና የአካባቢ ጥበቃ መኮንን,P
Social Behavior Communication Change Officer - Nutrition,,,Service,Consulting service around social science,የማህበራዊ ባህሪ ግንኙነት ለውጥ ኦፊሰር - አመጋገብ,P
Social Business & Service Director,,,Service,Business Promotion Service,ማህበራዊ ንግድ እና አገልግሎት ዳይሬክተር,P
SOCIAL COHESION AND CONFLICT SENSITIVITY SPECIALIST: HIGHLANDS RESILIENCE ACTIVITY,,,Service,Consulting service around social science,የማህበራዊ ትስስር እና የግጭት ስሜታዊነት ልዩ ባለሙያ፡ ሃይላንድስ የመቋቋም እንቅስቃሴ,P
Social Cohesion and Protection Project Coordinator,,,Service,Consulting service around social science,የማህበራዊ ትስስር እና ጥበቃ ፕሮጀክት አስተባባሪ,P
Social Compliance Executive,,,Service,Other services,የማህበራዊ ተገዢነት አስፈፃሚ,P
Social Development Specialist,,,Service,Social work services,የማህበራዊ ልማት ባለሙያ,P
Social Franchising Officer(SFO-CB),,,Service,Other services,የማህበራዊ ፍራንሲንግ ኦፊሰር (SFO-CB),P
Social Inclusion and Gender Officer,,,Service,Social work services,ማህበራዊ ማካተት እና የስርዓተ-ፆታ ኦፊሰር,P
Social Inclusion Expert,,,Service,Social work services,የማህበራዊ ማካተት ባለሙያ,P
Social Media & Podcast Editor,,,Service,Media programming,ማህበራዊ ሚዲያ እና ፖድካስት አርታዒ,P
social media ad booster,,,Service,Advertising,የማህበራዊ ሚዲያ ማስታወቂያ ማበረታቻ,P
Social Media Analyst,,,Service,Advertising,የማህበራዊ ሚዲያ ተንታኝ,P
Social media and assistant manager,,,Service,Advertising,ማህበራዊ ሚዲያ እና ረዳት አስተዳዳሪ,P
Social media and content manager,,,Service,Advertising,ማህበራዊ ሚዲያ እና የይዘት አስተዳዳሪ,P
Social Media and Content Specialist,,,Service,Advertising,የማህበራዊ ሚዲያ እና የይዘት ባለሙያ,P
Social Media and IT Support Officer,,,Service,Advertising,የማህበራዊ ሚዲያ እና የአይቲ ድጋፍ ኦፊሰር,P
Social Media and YouTube Channel Manager,,,Service,Advertising,ማህበራዊ ሚዲያ እና የዩቲዩብ ቻናል አስተዳዳሪ,P
Social Media Associate,,,Service,Advertising,የማህበራዊ ሚዲያ ተባባሪ,U
Social media care,,,Service,Advertising,የማህበራዊ ሚዲያ እንክብካቤ,U
Social media Enthusiast,,,Service,Advertising,የማህበራዊ ሚዲያ አድናቂ,P
Social Media Evaluation,,,Service,Advertising,የማህበራዊ ሚዲያ ግምገማ,P
Social Media Executive,,,Service,Advertising,የማህበራዊ ሚዲያ ሥራ አስፈፃሚ,P
Social media graphic designer,,,Service,Advertising,የማህበራዊ ሚዲያ ግራፊክ ዲዛይነር,P
Social media host,,,Service,Advertising,የማህበራዊ ሚዲያ አስተናጋጅ,P
Social Media Magician,,,Service,Advertising,ማህበራዊ ሚዲያ አስማተኛ,U
Social Media Manager & Junior Creative Editor,,,Service,Advertising,የማህበራዊ ሚዲያ አስተዳዳሪ እና ጁኒየር ፈጠራ አርታዒ,P
Social media manager & web designer,,,Service,Advertising,የማህበራዊ ሚዲያ አስተዳዳሪ እና የድር ዲዛይነር,P
SOCIAL MEDIA MANAGER AND ADMIN ASSISTANT,,,Service,Advertising,የማህበራዊ ሚዲያ ስራ አስኪያጅ እና አስተዳዳሪ ረዳት,P
Social media manager and Cast manager,,,Service,Advertising,የማህበራዊ ሚዲያ አስተዳዳሪ እና ውሰድ አስተዳዳሪ,P
Social media manager and content strategist,,,Service,Advertising,የማህበራዊ ሚዲያ አስተዳዳሪ እና የይዘት ስትራቴጂስት,P
Social Media Manager and Digital marketer and Graphics design,,,Service,Advertising,የማህበራዊ ሚዲያ አስተዳዳሪ እና ዲጂታል ገበያተኛ እና ግራፊክስ ዲዛይን,P
Social Media manager and makup artist,,,Service,Advertising,የማህበራዊ ሚዲያ አስተዳዳሪ እና ማፕ አርቲስት,P
Social Media Market Seller,,,Service,Advertising,የማህበራዊ ሚዲያ ገበያ ሻጭ,P
social Media Marketer,,,Service,Advertising,ማህበራዊ ሚዲያ ገበያተኛ,P
Social media marketer & content writer,,,Service,Advertising,የማህበራዊ ሚዲያ አሻሻጭ እና የይዘት ጸሐፊ,P
Social media marketer and digital advertisements,,,Service,Advertising,የማህበራዊ ሚዲያ አሻሻጭ እና ዲጂታል ማስታወቂያዎች,P
Social Media Representative,,,Service,Advertising,የማህበራዊ ሚዲያ ተወካይ,U
Social Media Specialist,,,Service,Advertising,የማህበራዊ ሚዲያ ስፔሻሊስት,U
Social Media Support Assistant,,,Service,Advertising,የማህበራዊ ሚዲያ ድጋፍ ረዳት,P
